,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
371,needed me,rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80
372,7 years,lukas graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
373,"can't stop the feeling! (original song from dreamworks animation's ""trolls"")",justin timberlake,dance pop,2016,113,83,67,-6,19,70,236,1,7,79
374,work from home (feat. ty dolla $ign),fifth harmony,dance pop,2016,105,59,80,-6,6,59,214,10,4,79
375,scars to your beautiful,alessia cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79
376,like i'm gonna lose you (feat. john legend),meghan trainor,dance pop,2016,108,53,63,-7,18,42,225,40,4,79
377,work,rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78
378,stitches,shawn mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78
379,"me, myself & i",g-eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78
380,i took a pill in ibiza - seeb remix,mike posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78
381,dangerous woman,ariana grande,dance pop,2016,134,60,66,-5,36,29,236,5,4,78
382,starving,hailee steinfeld,dance pop,2016,100,62,73,-4,11,51,182,38,6,78
383,shout out to my ex,little mix,dance pop,2016,126,75,77,-4,11,80,246,2,9,77
384,electric love,børns,electropop,2016,120,80,61,-8,26,52,218,1,5,76
385,confident,demi lovato,dance pop,2016,130,75,59,-6,9,34,206,0,7,75
386,too good,drake,canadian hip hop,2016,118,65,79,-8,10,39,263,5,10,74
387,roses,the chainsmokers,electropop,2016,100,80,71,-7,31,34,227,4,6,74
388,cold water (feat. justin bieber & mø),major lazer,dance pop,2016,93,80,61,-5,16,50,185,7,4,73
389,me too,meghan trainor,dance pop,2016,124,69,93,-6,48,84,181,10,10,73
390,light it up (feat. nyla & fuse odg) [remix],major lazer,dance pop,2016,108,88,75,-4,23,75,166,4,7,73
391,ain't your mama,jennifer lopez,dance pop,2016,120,68,76,-6,7,82,218,5,23,72
392,close,nick jonas,dance pop,2016,124,62,65,-5,14,40,234,25,8,72
393,toothbrush,dnce,dance pop,2016,105,79,55,-6,47,82,232,12,13,72
394,all we know,the chainsmokers,electropop,2016,90,59,66,-9,12,30,194,10,3,72
395,final song,mø,dance pop,2016,105,67,70,-6,8,25,236,1,3,72
396,company,justin bieber,canadian pop,2016,95,80,59,-5,8,43,208,13,6,72
397,hands to myself,selena gomez,dance pop,2016,111,50,81,-7,34,47,201,1,12,71
399,"just like fire (from the original motion picture ""alice through the looking glass"")",p!nk,dance pop,2016,163,70,63,-6,11,50,215,1,15,71
400,no,meghan trainor,dance pop,2016,92,80,56,-4,74,65,214,1,22,70
401,kill em with kindness,selena gomez,dance pop,2016,120,88,76,-5,10,40,218,1,4,70
402,cool girl,tove lo,dance pop,2016,102,69,67,-7,8,20,199,31,11,69
403,runnin' (lose it all),naughty boy,tropical house,2016,139,85,32,-6,48,8,213,1,8,69
404,here,alessia cara,canadian contemporary r&b,2016,120,82,38,-4,8,33,199,8,10,68
405,perfect illusion,lady gaga,dance pop,2016,125,86,61,-5,36,66,182,0,4,67
406,pillowtalk,zayn,dance pop,2016,125,70,59,-4,9,43,204,10,5,66
407,out of the woods,taylor swift,pop,2016,92,84,55,-7,34,34,236,0,4,66
408,rise,katy perry,dance pop,2016,101,64,55,-6,11,44,203,5,5,66
409,wherever i go,onerepublic,dance pop,2016,100,69,55,-6,27,35,170,9,4,66
410,body say,demi lovato,dance pop,2016,87,74,63,-5,28,26,194,0,4,65
411,don't be a fool,shawn mendes,canadian pop,2016,175,34,47,-6,10,27,216,60,4,65
412,like i would,zayn,dance pop,2016,113,83,56,-6,26,23,192,2,11,65
413,cheap thrills,sia,australian dance,2016,90,80,59,-5,8,73,225,6,22,64
414,i got you,bebe rexha,dance pop,2016,98,89,61,-5,9,32,192,5,5,64
415,run away with me,carly rae jepsen,canadian pop,2016,119,72,56,-6,5,25,251,1,5,63
416,cruel (feat. zayn),snakehips,dance pop,2016,110,88,60,-4,16,32,228,2,12,63
417,send my love (to your new lover),adele,british soul,2016,164,52,69,-8,17,56,223,4,10,61
418,wtf (where they from),missy elliott,dance pop,2016,120,82,93,-3,6,56,193,2,20,58
419,desire,years & years,dance pop,2016,126,78,71,-5,30,64,203,30,6,58
420,when we were young,adele,british soul,2016,144,59,38,-6,9,27,291,35,5,58
421,i know what you did last summer,shawn mendes,canadian pop,2016,114,77,68,-5,16,72,224,11,10,57
422,wish that you were here - from miss peregrines home for peculiar children original motion picture,florence + the machine,art pop,2016,94,57,37,-6,13,12,403,72,3,57
423,hurts,emeli sandé,dance pop,2016,106,64,58,-8,15,18,238,2,3,57
424,change,christina aguilera,dance pop,2016,82,54,62,-6,13,20,187,68,8,54
425,make me... (feat. g-eazy),britney spears,dance pop,2016,123,70,70,-7,22,58,231,16,10,53
426,keeping your head up,birdy,neo mellow,2016,122,78,60,-5,19,53,208,16,5,52
427,true colors,zedd,complextro,2016,126,79,57,-3,10,49,225,40,4,51
428,make me like you,gwen stefani,dance pop,2016,118,71,74,-5,13,80,217,4,5,50
429,champagne problems,nick jonas,dance pop,2016,108,78,73,-5,9,64,193,0,13,50
430,blown,dnce,dance pop,2016,130,95,63,-5,10,73,197,0,4,48
431,start,john legend,neo mellow,2016,110,4,52,-15,9,26,310,99,4,47
432,pep rally,missy elliott,dance pop,2016,90,75,83,-4,20,32,263,22,12,47
433,higher,carly rae jepsen,canadian pop,2016,114,87,65,-5,37,44,234,1,6,46
434,invitation,britney spears,dance pop,2016,112,65,37,-7,9,16,200,3,11,44
435,one call away (feat. tyga) - remix,charlie puth,dance pop,2016,91,69,75,-5,13,52,192,26,4,41
436,beautiful birds (feat. birdy),passenger,folk-pop,2016,86,17,39,-13,11,14,214,91,3,36
437,little lies,hilary duff,dance pop,2016,124,76,57,-6,4,40,204,0,6,36
438,do you wanna come over?,britney spears,dance pop,2016,121,70,75,-6,11,45,203,1,7,34
